0,results/tmp/0_ZIP_no_LA_trading_agents.csv,results/tmp/1_ZIP+LA_all.csv,results/tmp/3_ZIP+LA_trading_agents.csv,results/tmp/4_ZIC_no_LA_trading_agents.csv,results/tmp/5_ZIC+LA_all.csv,results/tmp/6_ZIC+LA_trading_agents.csv
0,14.504,14.504,14.495,143.594,143.594,143.594
100,14.724,43.628,27.193,138.444,195.336,161.617
200,14.732,51.96,30.476,137.436,205.48,164.59
300,15.758,55.978,32.15,137.122,209.172,166.044
400,16.374,59.278,33.759,136.226,210.346,165.765
500,17.318,60.82,34.412,136.098,211.756,166.596
600,18.468,61.974,35.125,135.592,212.734,167.07
700,19.52,62.512,35.338,134.756,213.616,167.079
800,20.24,62.48,35.364,135.58,213.922,167.624
900,20.964,64.158,36.103,134.608,214.3,167.346
1000,21.474,63.504,35.845,134.79,214.906,167.974
